tokenid,collection_mint_number,asset_token_id,asset_index,token_index
gdqwe-uakor-uwiaa-aaaaa-cuarg-yaqca-acyez-q,405,22jb6-tykor-uwiaa-aaaaa-c4chg-yaqca-aaagk-q,405,180531
gdta7-fakor-uwiaa-aaaaa-cuarg-yaqca-acyuv-a,1420,22kxf-cykor-uwiaa-aaaaa-c4chg-yaqca-aaawg-a,1420,181546
pc6vu-6qkor-uwiaa-aaaaa-cuarg-yaqca-acyo4-a,1050,23rhl-oykor-uwiaa-aaaaa-c4chg-yaqca-aaaqn-a,1050,181176
t5omi-qakor-uwiaa-aaaaa-cuarg-yaqca-acx6q-q,3,23srq-7ykor-uwiaa-aaaaa-c4chg-yaqca-aaaab-q,3,180129
pftcw-7akor-uwiaa-aaaaa-cuarg-yaqca-acyp4-q,1115,244qj-pikor-uwiaa-aaaaa-c4chg-yaqca-aaarn-q,1115,181241
t2d3k-rqkor-uwiaa-aaaaa-cuarg-yaqca-acx7q-a,66,247gs-6ikor-uwiaa-aaaaa-c4chg-yaqca-aaabb-a,66,180192
ge5bg-vqkor-uwiaa-aaaaa-cuarg-yaqca-acyfz-a,468,25ew4-sikor-uwiaa-aaaaa-c4chg-yaqca-aaahk-a,468,180594
ge6x5-eqkor-uwiaa-aaaaa-cuarg-yaqca-acyvv-q,1485,25hah-dikor-uwiaa-aaaaa-c4chg-yaqca-aaaxg-q,1485,181611
urvvp-nikor-uwiaa-aaaaa-cuarg-yaqca-acyol-a,1016,26twa-kakor-uwiaa-aaaaa-c4chg-yaqca-aaap4-a,1016,181142
vwvbz-lqkor-uwiaa-aaaaa-cuarg-yaqca-acyig-a,622,27igo-gakor-uwiaa-aaaaa-c4chg-yaqca-aaajx-a,622,180748
vwwxc-2qkor-uwiaa-aaaaa-cuarg-yaqca-acyyk-q,1655,27lqv-xakor-uwiaa-aaaaa-c4chg-yaqca-aaaz3-q,1655,181781
hcftf-oikor-uwiaa-aaaaa-cuarg-yaqca-acyvt-q,1481,2ar4p-fakor-uwiaa-aaaaa-c4chg-yaqca-aaaxe-q,1481,181607
