airdropId,name,description,learnMore,twitter,chat,ledgerId,symbol,decimals,amount,fee,code
0,Kinic,"A DAO for on-chain search, zkML, & dApp discoverability",https://xcvai-qiaaa-aaaak-afowq-cai.icp0.io/,https://twitter.com/kinic_app,https://oc.app/community/rqdzm-qaaaa-aaaar-ar3na-cai,73mez-iiaaa-aaaaq-aaasq-cai,KINIC,8,500,100000,7KGY4K
1,iDoge,A deflationary memecoin on the Internet Computer,https://idoge.org/,https://twitter.com/idoge_icp,https://t.me/icpdoge,eayyd-iiaaa-aaaah-adtea-cai,iDoge,18,1555,0,E90K3L
2,OpenChat,Where web3 communicates,https://oc.app/,https://twitter.com/OpenChat,https://oc.app/community/dgegb-daaaa-aaaar-arlhq-cai/,2ouva-viaaa-aaaaq-aaamq-cai,CHAT,8,2000,100000,UR9I3D
3,Windoge98,The operating system that empowers users,https://windoge98.com/,https://twitter.com/windoge_98,https://oc.app/community/ow6el-gyaaa-aaaar-av5na-cai,rh2pm-ryaaa-aaaan-qeniq-cai,EXE,8,2250,100000,I7EIU1
4,ICLighthouse,Incubating true Web3 DeFi infrastructure,https://iclight.house/,https://twitter.com/ICLighthouse,https://discord.com/invite/FQZFGGq7zv,hhaaz-2aaaa-aaaaq-aacla-cai,ICL,8,10000,1000000,0T9AUX
5,Alien,A community token by SNEED DAO for #ICPCC24,https://icsneed.com/,https://twitter.com/icsneed,https://oc.app/community/aury7-ryaaa-aaaar-auzia-cai,7tvr6-fqaaa-aaaan-qmira-cai,ALIEN,8,4725000000,420,DSX6YY
6,Windoge98,The operating system that empowers users,https://windoge98.com/,https://twitter.com/windoge_98,https://oc.app/community/ow6el-gyaaa-aaaar-av5na-cai,rh2pm-ryaaa-aaaan-qeniq-cai,EXE,8,2250,100000,0FSHTD
7,iDoge,A deflationary memecoin on the Internet Computer,https://idoge.org/,https://twitter.com/idoge_icp,https://t.me/icpdoge,eayyd-iiaaa-aaaah-adtea-cai,iDoge,18,1555,0,6F8Z34
8,DragonEyes,A provably fair gaming platform on ICP,https://www.dragoneyes.xyz/,https://twitter.com/ICDragonEyes,https://discord.com/invite/ERsUvnZP8G,xa275-diaaa-aaaam-ab4pq-cai,EYES,8,2500000,0,EMZ32I
9,Trax,A decentralised music platform governed by artists and fans,https://trax.so/,https://twitter.com/trax_so,https://oc.app/community/snsry-4qaaa-aaaar-a3vua-cai,emww2-4yaaa-aaaaq-aacbq-cai,TRAX,8,800,100000,NOB17E
10,Querio,On-chain Web3 search engine,https://querio.io/,https://discord.com/invite/NmV6uyYm29,https://oc.app/community/qbzct-jaaaa-aaaar-au2gq-cai/,vi5vh-wyaaa-aaaan-qizxa-cai,QRO,8,10000,10000,TLO68X
11,Vaultbet,The Decentralized Sports Betting Exchange,https://vault-bet.com/,https://twitter.com/VaultBet,https://discord.com/invite/NmV6uyYm29,vtkgs-raaaa-aaaak-afcua-cai,VBT,8,1000,0,CTIS6U
12,ICLighthouse,Incubating true Web3 DeFi infrastructure,https://iclight.house/,https://twitter.com/ICLighthouse,https://discord.com/invite/FQZFGGq7zv,hhaaz-2aaaa-aaaaq-aacla-cai,ICL,8,10000,1000000,EH15WO
13,Alien,A community token by SNEED DAO for #ICPCC24,https://icsneed.com/,https://twitter.com/icsneed,https://oc.app/community/aury7-ryaaa-aaaar-auzia-cai,7tvr6-fqaaa-aaaan-qmira-cai,ALIEN,8,4725000000,420,YU47GE
14,DragonEyes,A provably fair gaming platform on ICP,https://www.dragoneyes.xyz/,https://twitter.com/ICDragonEyes,https://discord.com/invite/ERsUvnZP8G,xa275-diaaa-aaaam-ab4pq-cai,EYES,8,2500000,0,KXE3W6
15,Querio,On-chain Web3 search engine,https://querio.io/,https://twitter.com/querio_io,https://oc.app/community/qbzct-jaaaa-aaaar-au2gq-cai/,vi5vh-wyaaa-aaaan-qizxa-cai,QRO,8,10000,10000,AVIVSF
16,Catalyze,The all-in-one community builder,https://catalyze.one/,https://twitter.com/catalyze_one,https://t.me/Catalyzeone,uf2wh-taaaa-aaaaq-aabna-cai,CAT,8,50000,100000,R8W560
17,ICPSwap,The Hub of Future Decentralized Finance,https://linktr.ee/ICPSwap,https://twitter.com/ICPSwap,https://t.me/ICPSwap_Offici,ca6gz-lqaaa-aaaaq-aacwa-cai,ICS,8,50000,1000000,H4YU9S
18,DecideAI,Building a decentralized AI ecosystem,https://decideai.xyz/,https://twitter.com/ModclubApp,https://oc.app/community/zmr66-uyaaa-aaaar-askta-cai/,xsi2v-cyaaa-aaaaq-aabfq-cai,MOD,8,25000,10000,E3JQVE
